Filename,Satellite,Daily_Or_7Day,Date,5th_Percentile,Median,95th_Percentile,Mean,StdDeviation,NumberOfInvalidMeasurements
MODWCW_2021252_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,09-Sep-2021,NaN,NaN,NaN,NaN,NaN,63
MODWCW_2021253_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,10-Sep-2021,NaN,NaN,NaN,NaN,NaN,63
MODWCW_2021254_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,11-Sep-2021,NaN,NaN,NaN,NaN,NaN,63
MODWCW_2021255_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,12-Sep-2021,NaN,NaN,NaN,NaN,NaN,63
MODWCW_2021256_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,13-Sep-2021,0.589564442634583,0.728256702423096,0.898085176944733,0.727966725826263,0.106135524809361,0
MODWCW_2021257_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,14-Sep-2021,0.960618376731873,1.15870380401611,1.47273242473602,1.18086194992065,0.15374182164669,0
MODWCW_2021258_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,15-Sep-2021,0.25563508272171,0.286474585533142,0.314409822225571,0.28792679309845,0.0213667005300522,20
MODWCW_2021190_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,09-Jul-2021,0.567813158035278,0.661755979061127,1.0000102519989,0.706269025802612,0.126099824905396,0
MODWCW_2021197_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,16-Jul-2021,0.780676603317261,1.13055276870728,1.695969581604,1.19671225547791,0.287064343690872,0
MODWCW_2021204_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,23-Jul-2021,0.437286198139191,0.588456451892853,1.08908700942993,0.648945093154907,0.203934699296951,0
MODWCW_2021211_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,30-Jul-2021,0.90291428565979,1.03890216350555,1.19221758842468,1.0361955165863,0.103916436433792,0
MODWCW_2021218_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,06-Aug-2021,0.790790498256683,0.999631106853485,1.14273798465729,0.980524122714996,0.120277486741543,0
MODWCW_2021225_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,13-Aug-2021,0.809961438179016,0.956481337547302,1.19559276103973,0.979101657867432,0.130906045436859,0
MODWCW_2021232_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,20-Aug-2021,10.7092809677124,25.5630283355713,52.1996154785156,28.3126602172852,12.830397605896,0
MODWCW_2021239_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,27-Aug-2021,1.88015401363373,2.82045364379883,3.96835494041443,2.81642961502075,0.581516921520233,4
MODWCW_2021246_7DAY_AQUA_CHLORA_FG_1KM.nc4,MODIS,7Day,03-Sep-2021,0.461913406848907,0.534500420093536,0.647635221481323,0.546661674976349,0.0769879147410393,0
MODWCW_2021258_DAILY_AQUA_CHLORA_FG_1KM.nc4,MODIS,Daily,15-Sep-2021,0.25563508272171,0.286474585533142,0.314409822225571,0.28792679309845,0.0213667005300522,20
VRSUCW_2021252_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,09-Sep-2021,NaN,NaN,NaN,NaN,NaN,120
VRSUCW_2021253_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,10-Sep-2021,NaN,NaN,NaN,NaN,NaN,120
VRSUCW_2021254_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,11-Sep-2021,NaN,NaN,NaN,NaN,NaN,120
VRSUCW_2021255_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,12-Sep-2021,1.47395992279053,1.63359594345093,1.68555462360382,1.60244178771973,0.07999287545681,113
VRSUCW_2021256_DAILY_SNPP_CHLORA_FG_750M.nc4,VIIRS,Daily,13-Sep-2021,1.5423104763031,1.98353815078735,2.47750997543335,1.98024129867554,0.289794355630875,0
